Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Time,SAUH,RLK,NCR,INRD,CHG,RUS,WAX,INTM,ESUN,TOLS,CBL,CBS,CHBR,SEL,ANS,WIL,ESAL,SAUB,ESTR,LAF,NAS,BIR,CIN,DTR,EFIM,EVL,ESUK,LIRC,LFNS,PITS,MRN,MIIL,THT,FFT,CLEA,CRA,TUSC,INTP,LEBN,THTB,WALM,RAMP,RIP,LICL,PARA,BRO,HOLD,Spare 1,Spare 2,Spare 3,Spare 4,Spare 5,Spare 6,Time,Pull 1,Pull 2,Pull 3,D1,D2,D3,D4,D5,D6
,,,,,,,,13:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13:30,ITHTOL,,,,,PULL,,,
,,,,,,,,13:45,1,2,0,2,1,1,2,2,6,0,3,2,1,1,3,1,4,3,5,11,1,5,0,6,2,0,2,1,1,2,1,2,1,3,0,1,1,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,13:45,ITHTOL,,,,,PULL,,,
,,WILITH,,,,,,14:00,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14:00,ITHSAU,,,,,,ITHSAU,,
,,,,,,,,14:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14:15,ITHSAU,,,,,,PULL,,
,,,,,,,,14:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14:30,ITHSAU,,,,,,PULL,,
,,,,,,,,14:45,0,2,2,1,7,7,2,2,0,5,3,2,1,12,1,13,0,0,1,2,0,2,0,0,0,2,0,3,0,2,1,2,2,0,2,1,0,3,1,2,0,0,0,1,2,0,1,0,0,0,6,0,0,14:45,ITHSAU,,,,,,PULL,,
,,,LI29,,,,,15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15:00,,,,,,,,,
,,,,ESTITH,,,,15:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15:15,,,,,,,,,
,,,,,,,,15:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15:30,,,,,,,,,
,,,,,,,,15:45,6,2,4,4,1,1,1,3,5,2,1,0,1,1,6,3,4,6,6,6,2,1,0,2,3,4,2,1,1,2,6,2,1,5,0,3,2,3,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,15:45,,,,,,,,,
ESFIITH,,,,,,,,16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16:00,ITHALS,,,ITHALS,,,,,
,,,,,CBLITHB,,,16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16:15,ITHALS,,,PULL,,,,,
,,,,,,ALSITH,,16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16:30,ITHALS,,,PULL,,,,,
,,,,,,,,16:45,4,1,0,17,2,0,0,3,9,1,0,2,0,3,1,0,0,1,9,4,2,1,0,1,1,0,2,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,16:45,ITHALS,,,PULL,,,,,
,,,,,,,,17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,17:00,,,,,,,,,
,,,,,,,,17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17:15,,,,,,,,,
,,,,,,,,17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17:30,,,,,,,,,
,LI26,,,,,,,17:45,0,0,2,2,4,2,4,3,2,2,3,16,10,2,1,3,3,2,2,3,3,8,0,2,3,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,17:45,,,,,,,,,
,,LI27,,,,,LI 76,18:00,0,0,0,-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18:00,ONRD,,,,,ONRD,,,
